Kaizer Chiefs,Richards Bay,1.7,3.25,5
Cape Town City,Polokwane City,2,3.1,3.75
Red Star Belgrade,Stuttgart,4.2,4,1.8
Sturm Graz,Girona,3.3,3.8,2.1
Club Atletico Boston River,Racing Club Montevideo,2.3,3.1,3
Leeds,Luton,1.44,4.5,7.5
Cardiff,QPR,2.05,3.5,3.75
Portsmouth,Millwall,3.1,3.4,2.37
Middlesbrough,Blackburn,1.5,4.5,6.5
Dinamo Zagreb,Borussia Dortmund,4.2,4.2,1.75
Derby,Swansea,2.5,3.3,2.87
Bologna,Lille,2.5,3.4,2.9
Aston Villa,Juventus,2.37,3.4,3
Monaco,Benfica,2.25,3.75,3
PSV,Shakhtar,1.44,5,7
Celtic,Club Brugge,2,3.75,3.6
Liverpool,Real Madrid,2.05,3.9,3.3
Cerro Largo,DFM,2.8,3.1,2.4
Cruzeiro,Gremio,2.15,3.25,3.3
Danubio,Nacional De Football,5.5,4,1.5
FC Astana,Vitória Guimaraes,3.75,3.3,1.83
Molde,APOEL Nicosia,1.66,3.6,4.33
Noah,Vikinqur,1.8,3.6,3.6
Panathinaikos,HJK Helsinki,1.22,5.5,9
Dinamo Minsk,Copenhagen,6,4,1.44
St Gallen,Backa Topola,1.33,4.75,6
The New Saints,Djurgarden,3.5,3.6,1.83
NK Celje,Jagiellonia Bialystok,2.3,3.3,2.7
Cercle Brugge,Heart of Midlothian,1.7,3.6,4.2
Borac Banja Luka,LASK Linz,3.2,3.3,2.05
Heidenheim,Chelsea,5.5,4.5,1.4
Fiorentina,Paphos,1.3,5,7.5
Lugano,KAA Gent,2.37,3.4,2.6
Olimpija Ljubljana,Larne,1.18,6,10
Rapid Vienna,Shamrock Rovers,1.22,5.5,8.5
Omonia Nicosia,Legia Warsaw,2.37,3.2,2.62
Mlada Boleslav,Betis,5.25,4.2,1.5
Adelaide United,Perth Glory,1.4,5.25,6
Super Sport United,Marumo Gallants,1.72,3.3,4.75
Heerenveen,Waalwijk,1.53,4.2,6
St Pauli,Holstein Kiel,1.95,3.6,4
Cagliari,Verona,2.05,3.5,3.75
Stade Reims,Lens,2.8,3.6,2.4
Brighton,Southampton,1.5,5,6.5
Mallorca,Valencia,1.95,3.1,4.75
Sporting Farense,Club Football Estrela,2.5,3.3,3
Auckland City,Newcastle Jets,1.53,4.33,5.5
Avispa Fukuoka,Urawa Red Diamonds,2.87,2.87,2.7
Albirex Niigata,Gamba Osaka,2.4,3.4,2.8
Sanfrecce Hiroshima,Sapporo,1.33,5.5,7.5
Cerezo Osaka,Kashima Antlers,2.87,3.4,2.37
Jubilo Iwata,FC Tokyo,2.5,3.4,2.62
Shonan Bellmare,Yokohama F.Marinos,2.4,3.6,2.62
Machida Zelvia,Kyoto,1.61,4,5
Kashiwa Reysol,Vissel Kobe,3.3,3.25,2.2
Nagoya Grampus Eight,Sagan Tosu,1.66,3.75,5
Tokyo Verdy,Kawasaki,2.6,3.4,2.6
Melbourne City,Western Sydney Wanderers FC,1.9,3.8,3.5
Macarthur FC,Brisbane R,2.1,3.8,3.1
Barcelona,Las Palmas,1.16,8.5,15
Richards Bay,Amazulu,2.6,3.1,2.6
Como,Monza,1.95,3.4,4.33
Augsburg,Bochum,1.66,4.2,5
Union Berlin,Bayer Leverkusen,4.5,3.75,1.8
RB Leipzig,Wolfsburg,1.61,4.33,5.25
Werder Bremen,Stuttgart,3.1,4,2.15
SC Freiburg,Borussia Mgladbach,1.95,3.8,3.8
Kilmarnock,Dundee,2,3.6,3.5
Dundee United,St Mirren,2.2,3.3,3.2
Wolves,Bournemouth,2.7,3.6,2.5
Celtic,Ross County,1.07,11,23
Motherwell,Hibernian,2.5,3.3,2.7
Brentford,Leicester,1.72,4.2,4.5
Crystal Palace,Newcastle,3,3.6,2.37
Nottingham Forest,Ipswich,1.66,4,5.25
Alavés,Leganés,1.83,3.4,5
Rio Ave,Moreirense,2.87,3.4,2.5
NAC Breda,Almere City,2.1,3.5,3.25
Kaizer Chiefs,Royal AM,1.72,3.4,4.5
Hartberg,Red Bull Salzburg,4.33,4,1.72
Rennes,St Etienne,1.4,5,7
Grazer AK,Wolfsberger AC,2.75,3.5,2.37
SCR Altach,Sturm Graz,4.5,4,1.66
Milan,Empoli,1.4,5,8.5
Borussia Dortmund,Bayern Munich,4.5,4.75,1.66
West Ham,Arsenal,6.5,4.5,1.53
Groningen,Willem II,2.1,3.6,3.25
Nacional de Madeira,Boavista,2,3.5,4
Mamelodi Sundowns,Sekhukhune United,1.6,3.5,5.5
Chippa United FC,Magesi,1.95,3.2,3.8
Brest,Strasbourg,2.1,3.75,3.4
